Municipio de Residencia,Playa,Revolution Square,Centro Habana,La Habana Vieja,Regla,Habana del Este,Guanabacoa,San Miguel del Padrón,Diez de Octubre,Cerro,Marianao,La Lisa,Boyeros,Arroyo Naranjo,Cotorro,Porciento de ocupados que pendulan
Playa,53.8,19.1,3.1,5.1,0.5,0.8,0.2,0.3,0.7,3.3,4.7,2.4,4.6,1.1,0.4,46.2
Revolution Square,20.2,52.6,4.8,6.6,0.9,0.6,0.3,0.6,0.8,4.2,2.1,0.8,4.4,0.9,0.1,47.4
Centro Habana,17.2,26.9,16.3,15.1,2.1,1.2,0.6,0.5,0.9,6,1.9,1,6.9,2.5,0.7,83.7
La Habana Vieja,12.9,18.1,5.4,43.2,3.3,1.3,0.5,0.6,1.2,4.5,1.9,0.7,4.6,1.2,0.7,56.8
Regla,9.4,11.8,3.9,15.6,36.2,4.7,4,1.2,1.1,4.3,2.3,0.3,2,2,1.1,63.8
Habana del Este,18,18.9,4.2,14.9,6.3,18.2,3.1,1.4,1.4,4.9,1.9,0.6,3.5,2.4,0.4,81.8
Guanabacoa,11.8,11.9,3.5,11.5,9.8,10.1,18.6,2.9,2,6.9,1.9,0.5,4.6,2.7,1.5,81.4
San Miguel del Padrón,16.1,15,3.5,10.9,4.4,3.9,3.3,14,3.9,8.1,2.5,0.8,5.6,4.1,3.9,86
Diez de Octubre,19.8,19.6,4.1,11.4,2.1,1.4,0.7,1.5,17.1,8.4,2.5,0.8,7.2,2.4,0.8,82.9
Cerro,19.2,22.7,4.9,11,1.3,1,1.1,0.5,2.9,22.8,2.9,1.3,6.2,1.6,0.5,77.2
Marianao,30.1,16.3,3.2,4.4,1,0.8,0.3,0.4,1.2,5.7,21.2,3.6,9.1,2,0.7,78.8
La Lisa,36.3,17,3,3.5,0.6,0.7,0.7,0.2,1,3.5,6.2,18.7,5.9,2.3,0.5,81.3
Boyeros,16.8,15.5,2,3.5,0.4,0.6,0.2,0.3,1.3,4.5,3.1,2.6,44.8,3.5,0.6,95.2
Arroyo Naranjo,16,15.8,3.4,7.4,1.7,1.6,0.6,1.2,2.4,7,3.9,1,15.4,21.2,1.4,78.8
Cotorro,10.5,13.2,2.2,5.6,1.5,4.2,1.5,1.6,2.5,6.6,1.2,1.7,7.4,5,35.2,64.8
