id,codigo,orden,idruta,regreso
104,23063999,1,21,0
105,23060085,10,21,1
114,23060068,5,26,0
115,23060071,10,26,0
116,23060166,15,26,0
117,23060169,18,26,0
118,23060175,5,26,1
119,23060092,10,26,1
120,23060094,14,26,1
121,23060097,18,26,1
122,23060067,3,23,0
123,23060071,7,23,0
124,23060270,11,23,0
125,23060079,15,23,0
126,23060099,19,23,0
127,23050003,23,23,0
128,23080096,27,23,0
129,23080099,3,23,1
130,23050009,7,23,1
131,23060082,11,23,1
132,23060086,15,23,1
133,23060090,19,23,1
134,23060094,23,23,1
135,23063999,27,23,1
136,23060095,24,23,1
140,23060067,3,239,0
141,23060069,5,239,0
142,23060071,7,239,0
143,23060073,9,239,0
144,23060075,11,239,0
145,23060235,13,239,0
146,23060237,15,239,0
147,23060238,16,239,0
148,23060268,18,239,0
149,23070165,20,239,0
151,23070138,22,239,0
152,23070140,24,239,0
154,23070141,25,239,0
155,23070168,26,239,0
156,23070062,28,239,0
157,23070061,27,239,0
158,23070063,29,239,0
160,23070064,30,239,0
161,23060066,2,21,0
162,23060086,11,21,1
400,23060067,3,21,0
401,23060087,12,21,1
413,23063999,1,26,0
414,23060153,6,26,0
415,23060154,11,26,0
416,23060167,16,26,0
417,23060171,1,26,1
418,23060176,6,26,1
419,23060180,11,26,1
420,23060182,15,26,1
421,23063999,19,26,1
422,23060068,4,23,0
423,23060072,8,23,0
424,23060076,12,23,0
425,23060080,16,23,0
426,23060037,20,23,0
427,23050004,24,23,0
428,23080097,28,23,0
429,23050006,4,23,1
430,23050010,8,23,1
431,23060083,12,23,1
432,23060087,16,23,1
433,23060091,20,23,1
434,23060072,8,239,0
435,23060233,2,239,0
436,23060068,4,239,0
437,23060070,6,239,0
438,23060074,10,239,0
439,23060234,12,239,0
440,23060236,14,239,0
441,23063999,1,239,0
442,23060239,17,239,0
443,23070164,19,239,0
468,23060068,4,21,0
479,23060271,13,21,1
546,25000202,4,16,0
547,25000302,5,16,0
549,25000502,7,16,0
550,25000602,8,16,0
551,25000702,9,16,0
552,25000802,10,16,0
553,25000902,11,16,0
554,25001002,12,16,0
555,25001102,13,16,0
556,25001202,14,16,0
557,25001302,15,16,0
558,25001402,16,16,0
559,25001502,17,16,0
560,25001602,18,16,0
561,25001702,19,16,0
562,25001802,20,16,0
563,25001902,21,16,0
564,25002002,22,16,0
565,25002102,1,16,1
566,25002202,2,16,1
567,25002302,3,16,1
568,25002402,4,16,1
569,25002502,5,16,1
570,25002602,6,16,1
571,25002702,7,16,1
572,25002802,8,16,1
573,25002902,9,16,1
574,25003002,10,16,1
575,25003102,11,16,1
576,25003202,12,16,1
577,25003302,13,16,1
578,25003402,14,16,1
579,25003502,15,16,1
580,25003602,16,16,1
582,25003802,18,16,1
583,25003902,19,16,1
584,25004002,20,16,1
585,25000102,3,16,0
586,25000102,3,17,0
598,25000202,4,17,0
599,25000302,5,17,0
600,25000402,6,17,0
601,25000502,7,17,0
602,25000602,8,17,0
603,25000702,9,17,0
604,25000802,10,17,0
605,25000902,11,17,0
606,25004102,12,17,0
607,25004202,13,17,0
609,25004302,14,17,0
610,25004402,15,17,0
611,25004502,16,17,0
612,25004602,17,17,0
613,25004702,18,17,0
614,25004802,19,17,0
615,25004702,1,17,1
616,25005002,2,17,1
617,25005102,3,17,1
618,25005202,4,17,1
619,25005302,5,17,1
620,25005402,6,17,1
621,25005502,7,17,1
622,25003202,8,17,1
623,25003302,9,17,1
624,25003402,10,17,1
625,25003502,11,17,1
626,25003602,12,17,1
627,25003702,13,17,1
628,25003802,14,17,1
629,25003902,15,17,1
630,25004002,16,17,1
632,25000102,3,14,0
633,25000202,4,14,0
634,25000302,5,14,0
635,25000402,6,14,0
636,25000502,7,14,0
637,25000602,8,14,0
638,25000702,9,14,0
639,25000802,10,14,0
640,25000902,11,14,0
641,25001002,12,14,0
642,25005602,13,14,0
643,25005702,14,14,0
644,25005802,15,14,0
645,25005902,16,14,0
647,25006002,17,14,0
648,25006102,18,14,0
649,25006202,19,14,0
650,25006302,20,14,0
651,25006402,21,14,0
652,25006502,22,14,0
653,25006602,23,14,0
654,25006702,24,14,0
655,25006802,25,14,0
656,25006902,1,14,1
657,25007002,2,14,1
659,25007102,3,14,1
660,25007202,4,14,1
661,25007302,5,14,1
662,25007402,6,14,1
663,25007502,7,14,1
665,25007602,8,14,1
666,25007702,9,14,1
667,25007802,10,14,1
668,25007902,11,14,1
