Hora,Playa,Revolution Square,Centro Habana,La Habana Vieja,Regla,Habana del Este,Guanabacoa,San Miguel del Padrón,Diez de Octubre,Cerro,Marianao,La Lisa,Boyeros,Arroyo Naranjo,Cotorro
60,87,70,62,37,23,78,58,68,96,59,65,64,96,90,39
120,98,93,59,42,20,69,56,64,84,61,68,58,97,83,40
180,119,110,55,58,22,65,50,54,81,60,62,48,98,73,37
240,115,135,68,60,25,59,46,46,61,59,69,46,100,66,37
300,130,147,58,63,30,54,50,36,59,63,60,50,99,59,34
360,143,146,53,71,32,56,44,37,54,60,58,47,104,55,32
420,149,144,53,75,32,54,43,36,57,57,53,47,104,56,32
480,150,148,56,75,31,55,40,36,54,56,51,48,106,56,30
540,151,150,53,76,31,54,39,36,55,56,53,47,106,55,30
600,154,158,51,78,32,54,36,34,53,55,53,44,108,52,30
660,156,147,55,86,25,47,35,34,55,67,56,41,107,51,30
720,152,138,56,73,20,51,35,44,65,57,67,40,109,54,31
780,147,128,53,67,19,57,33,47,80,55,59,47,114,56,30
840,142,123,56,63,17,62,39,50,70,60,54,50,113,62,31
900,141,121,53,62,17,70,36,53,74,60,56,50,109,61,29
960,135,116,57,58,19,71,38,53,73,59,57,55,110,59,32
1020,133,114,60,57,18,70,37,58,74,57,50,58,112,63,31
1080,134,115,60,56,19,68,37,59,74,59,49,57,108,66,31
1140,131,113,58,53,19,70,40,58,75,56,52,60,111,62,34
1200,125,112,59,47,19,72,42,59,78,57,52,61,111,64,34
1260,123,104,61,48,20,71,42,59,77,56,53,62,107,72,37
1320,119,103,60,50,19,69,44,59,79,58,50,63,109,73,37
1380,121,99,59,51,19,70,44,60,79,54,49,64,108,76,39
1440,119,98,57,53,19,72,44,60,79,57,51,64,105,76,38
